LocationDesc,DataValue
Alabama,469.7
Alaska,463.4
Arizona,411.3
Arkansas,456.5
California,432.5
Colorado,432.9
Connecticut,499.5
Delaware,517.9
District of Columbia,504.7
Florida,477.2
Georgia,476.2
Hawaii,425.6
Idaho,461.2
Illinois,489.0
Indiana,472.4
Iowa,484.3
Kansas,478.1
Kentucky,524.1
Louisiana,499.2
Maine,496.9
Maryland,468.0
Massachusetts,495.5
Michigan,484.2
Minnesota,478.2
Mississippi,485.2
Missouri,473.4
Montana,473.3
Nebraska,465.7
Nevada,442.1
New Hampshire,512.0
New Jersey,502.4
New Mexico,396.3
New York,503.9
North Carolina,486.0
North Dakota,469.2
Ohio,475.8
Oklahoma,462.1
Oregon,460.6
Pennsylvania,507.1
Rhode Island,510.9
South Carolina,474.2
South Dakota,466.7
Tennessee,482.2
Texas,437.0
United States,472.0
Utah,421.9
Vermont,481.8
Virginia,441.6
Washington,484.9
West Virginia,491.0
Wisconsin,481.2
Wyoming,428.3
