LocationDesc,DataValue
Alabama,0.425
Alaska,2
Arizona,2
Arkansas,1.15
California,0.87
Colorado,0.84
Connecticut,3
Delaware,1.6
Florida,1.339
Georgia,0.37
Hawaii,3
Idaho,0.57
Illinois,0.98
Indiana,0.995
Iowa,1.36
Kansas,0.79
Kentucky,0.6
Louisiana,0.36
Maine,2
Maryland,2
Massachusetts,2.51
Michigan,2
Minnesota,2.46
Mississippi,0.68
Missouri,0.17
Montana,1.7
Nebraska,0.64
Nevada,0.8
New Hampshire,1.78
New Jersey,2.7
New Mexico,1.66
New York,4.35
N. Carolina,0.45
N. Dakota,0.44
Ohio,1.25
Oklahoma,1.03
Oregon,1.18
Pennsylvania,1.6
Rhode Island,3.46
S. Carolina,0.57
S. Dakota,1.53
Tennessee,0.62
Texas,1.41
Utah,1.7
Vermont,2.24
Virginia,0.3
Washington,3.025
West Virginia,0.55
Wisconsin,2.52
Wyoming,0.6
D.C.,2.5
