LocationDesc,DataValue
Alabama,68.0
Alaska,60.1
Arizona,50.2
Arkansas,78.5
California,43.8
Colorado,43.7
Connecticut,60.8
Delaware,71.5
District of Columbia,53.9
Florida,61.3
Georgia,65.5
Hawaii,46.4
Idaho,51.4
Illinois,66.1
Indiana,74.5
Iowa,64.2
Kansas,59.5
Kentucky,94.0
Louisiana,69.0
Maine,73.1
Maryland,58.1
Massachusetts,64.1
Michigan,66.0
Minnesota,56.0
Mississippi,75.7
Missouri,74.8
Montana,56.8
Nebraska,59.2
Nevada,57.9
New Hampshire,66.4
New Jersey,57.7
New Mexico,40.9
New York,60.3
North Carolina,70.1
North Dakota,58.7
Ohio,70.3
Oklahoma,71.3
Oregon,58.4
Pennsylvania,65.0
Rhode Island,71.8
South Carolina,67.6
South Dakota,59.4
Tennessee,76.4
Texas,53.6
United States,60.9
Utah,27.9
Vermont,64.1
Virginia,59.5
Washington,57.8
West Virginia,81.3
Wisconsin,60.9
Wyoming,44.5
