"YearStart","YearEnd","LocationAbbr","LocationDesc","DataSource","Topic","Question","Response","DataValueUnit","DataValueType","DataValue","DataValueAlt","DataValueFootnoteSymbol","DatavalueFootnote","LowConfidenceLimit","HighConfidenceLimit","StratificationCategory1","Stratification1","StratificationCategory2","Stratification2","StratificationCategory3","Stratification3","GeoLocation","ResponseID","LocationID","TopicID","QuestionID","DataValueTypeID","StratificationCategoryID1","StratificationID1","StratificationCategoryID2","StratificationID2","StratificationCategoryID3","StratificationID3"
2010,2010,"AK","Alaska","ACS 1-Year Estimates","Disability","Disability among adults aged >= 65 years",NULL,"%","Crude Prevalence","38.6","38.6",NULL,NULL,"34","43.2","Gender","Male",NULL,NULL,NULL,NULL,"POINT (-147.72205903599973 64.84507995700051)",NULL,"02","DIS","DIS1_0","CRDPREV","GENDER","GENM",NULL,NULL,NULL,NULL
2010,2010,"AK","Alaska","ACS 1-Year Estimates","Disability","Disability among adults aged >= 65 years",NULL,"%","Crude Prevalence","39.8","39.8",NULL,NULL,"35.2","44.4","Gender","Female",NULL,NULL,NULL,NULL,"POINT (-147.72205903599973 64.84507995700051)",NULL,"02","DIS","DIS1_0","CRDPREV","GENDER","GENF",NULL,NULL,NULL,NULL
2011,2011,"AK","Alaska","ACS 1-Year Estimates","Disability","Disability among adults aged >= 65 years",NULL,"%","Crude Prevalence","40.5","40.5",NULL,NULL,"36.3","44.6","Gender","Female",NULL,NULL,NULL,NULL,"POINT (-147.72205903599973 64.84507995700051)",NULL,"02","DIS","DIS1_0","CRDPREV","GENDER","GENF",NULL,NULL,NULL,NULL
2011,2011,"AK","Alaska","ACS 1-Year Estimates","Disability","Disability among adults aged >= 65 years",NULL,"%","Crude Prevalence","44.7","44.7",NULL,NULL,"40.5","48.8","Gender","Male",NULL,NULL,NULL,NULL,"POINT (-147.72205903599973 64.84507995700051)",NULL,"02","DIS","DIS1_0","CRDPREV","GENDER","GENM",NULL,NULL,NULL,NULL
2012,2012,"AK","Alaska","ACS 1-Year Estimates","Disability","Disability among adults aged >= 65 years",NULL,"%","Crude Prevalence","38.9","38.9",NULL,NULL,"34.3","43.4","Gender","Female",NULL,NULL,NULL,NULL,"POINT (-147.72205903599973 64.84507995700051)",NULL,"02","DIS","DIS1_0","CRDPREV","GENDER","GENF",NULL,NULL,NULL,NULL
2012,2012,"AK","Alaska","ACS 1-Year Estimates","Disability","Disability among adults aged >= 65 years",NULL,"%","Crude Prevalence","41.5","41.5",NULL,NULL,"37.6","45.3","Gender","Male",NULL,NULL,NULL,NULL,"POINT (-147.72205903599973 64.84507995700051)",NULL,"02","DIS","DIS1_0","CRDPREV","GENDER","GENM",NULL,NULL,NULL,NULL
2013,2013,"AK","Alaska","ACS 1-Year Estimates","Disability","Disability among adults aged >= 65 years",NULL,"%","Crude Prevalence","42.7","42.7",NULL,NULL,"38.7","46.7","Gender","Male",NULL,NULL,NULL,NULL,"POINT (-147.72205903599973 64.84507995700051)",NULL,"02","DIS","DIS1_0","CRDPREV","GENDER","GENM",NULL,NULL,NULL,NULL
2013,2013,"AK","Alaska","ACS 1-Year Estimates","Disability","Disability among adults aged >= 65 years",NULL,"%","Crude Prevalence","36.7","36.7",NULL,NULL,"32.9","40.4","Gender","Female",NULL,NULL,NULL,NULL,"POINT (-147.72205903599973 64.84507995700051)",NULL,"02","DIS","DIS1_0","CRDPREV","GENDER","GENF",NULL,NULL,NULL,NULL
2014,2014,"AK","Alaska","ACS 1-Year Estimates","Disability","Disability among adults aged >= 65 years",NULL,"%","Crude Prevalence","39.1","39.1",NULL,NULL,"35.2","43","Gender","Female",NULL,NULL,NULL,NULL,"POINT (-147.72205903599973 64.84507995700051)",NULL,"02","DIS","DIS1_0","CRDPREV","GENDER","GENF",NULL,NULL,NULL,NULL
2014,2014,"AK","Alaska","ACS 1-Year Estimates","Disability","Disability among adults aged >= 65 years",NULL,"%","Crude Prevalence","43.1","43.1",NULL,NULL,"39.9","46.4","Gender","Male",NULL,NULL,NULL,NULL,"POINT (-147.72205903599973 64.84507995700051)",NULL,"02","DIS","DIS1_0","CRDPREV","GENDER","GENM",NULL,NULL,NULL,NULL
