YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,DataValueUnit,DataValueType,DataValue,StratificationCategory1,Stratification1
2008,2012,AL,Alabama,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,0.2,Race/Ethnicity,Asian or Pacific Islander
2012,2016,AL,Alabama,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,54.4,Race/Ethnicity,"White, non-Hispanic"
2009,2013,AL,Alabama,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,14.5,Race/Ethnicity,Hispanic
2012,2016,AL,Alabama,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,21.1,Race/Ethnicity,Hispanic
2015,2019,AL,Alabama,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,50.8,Race/Ethnicity,"White, non-Hispanic"
2009,2013,AL,Alabama,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,58.8,Race/Ethnicity,"White, non-Hispanic"
2011,2015,AL,Alabama,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,20.9,Race/Ethnicity,American Indian or Alaska Native
2011,2015,AL,Alabama,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,19.9,Race/Ethnicity,Asian or Pacific Islander
2010,2014,AL,Alabama,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,57.5,Race/Ethnicity,"White, non-Hispanic"
2014,2018,AL,Alabama,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,10.8,Race/Ethnicity,Hispanic
2015,2019,AL,Alabama,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,11.8,Race/Ethnicity,"Black, non-Hispanic"
2012,2016,AL,Alabama,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,87.6,Gender,Male
2013,2017,AL,Alabama,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,12.0,Race/Ethnicity,"Black, non-Hispanic"
2014,2018,AL,Alabama,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,48.6,Overall,Overall
2014,2018,AL,Alabama,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,0.3,Race/Ethnicity,Asian or Pacific Islander
2013,2017,AL,Alabama,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,20.4,Race/Ethnicity,American Indian or Alaska Native
2015,2019,AL,Alabama,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,48.8,Race/Ethnicity,"White, non-Hispanic"
