"YearStart","YearEnd","LocationAbbr","LocationDesc","DataSource","Topic","Question","Response","DataValueUnit","DataValueType","DataValue","DataValueAlt","DataValueFootnoteSymbol","DatavalueFootnote","LowConfidenceLimit","HighConfidenceLimit","StratificationCategory1","Stratification1","StratificationCategory2","Stratification2","StratificationCategory3","Stratification3","GeoLocation","ResponseID","LocationID","TopicID","QuestionID","DataValueTypeID","StratificationCategoryID1","StratificationID1","StratificationCategoryID2","StratificationID2","StratificationCategoryID3","StratificationID3"
2008,2012,"AL","Alabama","Statewide central cancer registries","Cancer","Cancer of the lung and bronchus, incidence",NULL,"per 100,000","Average Annual Age-adjusted Rate","0.2","0.2",NULL,NULL,"0.2","0.3","Race/Ethnicity","Asian or Pacific Islander",NULL,NULL,NULL,NULL,"POINT (-86.63186076199969 32.84057112200048)",NULL,"01","CAN","CAN8_1","AVGANNAGEADJRATE","RACE","APIO",NULL,NULL,NULL,NULL
2012,2016,"AL","Alabama","Statewide central cancer registries","Cancer","Cancer of the lung and bronchus, incidence",NULL,"per 100,000","Average Annual Age-adjusted Rate","54.4","54.4",NULL,NULL,"53.6","55.3","Race/Ethnicity","White, non-Hispanic",NULL,NULL,NULL,NULL,"POINT (-86.63186076199969 32.84057112200048)",NULL,"01","CAN","CAN8_1","AVGANNAGEADJRATE","RACE","WHT",NULL,NULL,NULL,NULL
2009,2013,"AL","Alabama","Death Certificate","Cancer","Cancer of the lung and bronchus, mortality",NULL,"per 100,000","Average Annual Age-adjusted Rate","14.5","14.5",NULL,NULL,"10","20","Race/Ethnicity","Hispanic",NULL,NULL,NULL,NULL,"POINT (-86.63186076199969 32.84057112200048)",NULL,"01","CAN","CAN8_2","AVGANNAGEADJRATE","RACE","HIS",NULL,NULL,NULL,NULL
2012,2016,"AL","Alabama","Statewide central cancer registries","Cancer","Cancer of the lung and bronchus, incidence",NULL,"per 100,000","Average Annual Age-adjusted Rate","21.1","21.1",NULL,NULL,"16.3","26.8","Race/Ethnicity","Hispanic",NULL,NULL,NULL,NULL,"POINT (-86.63186076199969 32.84057112200048)",NULL,"01","CAN","CAN8_1","AVGANNAGEADJRATE","RACE","HIS",NULL,NULL,NULL,NULL
2015,2019,"AL","Alabama","Statewide central cancer registries","Cancer","Cancer of the lung and bronchus, incidence",NULL,"per 100,000","Average Annual Age-adjusted Rate","50.8","50.8",NULL,NULL,"50","51.6","Race/Ethnicity","White, non-Hispanic",NULL,NULL,NULL,NULL,"POINT (-86.63186076199969 32.84057112200048)",NULL,"01","CAN","CAN8_1","AVGANNAGEADJRATE","RACE","WHT",NULL,NULL,NULL,NULL
2009,2013,"AL","Alabama","Statewide central cancer registries","Cancer","Cancer of the lung and bronchus, incidence",NULL,"per 100,000","Average Annual Age-adjusted Rate","58.8","58.8",NULL,NULL,"57.9","59.8","Race/Ethnicity","White, non-Hispanic",NULL,NULL,NULL,NULL,"POINT (-86.63186076199969 32.84057112200048)",NULL,"01","CAN","CAN8_1","AVGANNAGEADJRATE","RACE","WHT",NULL,NULL,NULL,NULL
2011,2015,"AL","Alabama","Death Certificate","Cancer","Cancer of the lung and bronchus, mortality",NULL,"per 100,000","Average Annual Age-adjusted Rate","20.9","20.9",NULL,NULL,"13.9","30.1","Race/Ethnicity","American Indian or Alaska Native",NULL,NULL,NULL,NULL,"POINT (-86.63186076199969 32.84057112200048)",NULL,"01","CAN","CAN8_2","AVGANNAGEADJRATE","RACE","AIAO",NULL,NULL,NULL,NULL
2011,2015,"AL","Alabama","Death Certificate","Cancer","Cancer of the lung and bronchus, mortality",NULL,"per 100,000","Average Annual Age-adjusted Rate","19.9","19.9",NULL,NULL,"13.4","28.2","Race/Ethnicity","Asian or Pacific Islander",NULL,NULL,NULL,NULL,"POINT (-86.63186076199969 32.84057112200048)",NULL,"01","CAN","CAN8_2","AVGANNAGEADJRATE","RACE","APIO",NULL,NULL,NULL,NULL
2010,2014,"AL","Alabama","Death Certificate","Cancer","Cancer of the lung and bronchus, mortality",NULL,"per 100,000","Average Annual Age-adjusted Rate","57.5","57.5",NULL,NULL,"56.4","58.5","Race/Ethnicity","White, non-Hispanic",NULL,NULL,NULL,NULL,"POINT (-86.63186076199969 32.84057112200048)",NULL,"01","CAN","CAN8_2","AVGANNAGEADJRATE","RACE","WHT",NULL,NULL,NULL,NULL
2014,2018,"AL","Alabama","Death Certificate","Cancer","Cancer of the lung and bronchus, mortality",NULL,"per 100,000","Average Annual Age-adjusted Rate","10.8","10.8",NULL,NULL,"7.5","14.8","Race/Ethnicity","Hispanic",NULL,NULL,NULL,NULL,"POINT (-86.63186076199969 32.84057112200048)",NULL,"01","CAN","CAN8_2","AVGANNAGEADJRATE","RACE","HIS",NULL,NULL,NULL,NULL
2015,2019,"AL","Alabama","Statewide central cancer registries","Cancer","Cancer of the lung and bronchus, incidence",NULL,"per 100,000","Average Annual Age-adjusted Rate","11.8","11.8",NULL,NULL,"11.4","12.2","Race/Ethnicity","Black, non-Hispanic",NULL,NULL,NULL,NULL,"POINT (-86.63186076199969 32.84057112200048)",NULL,"01","CAN","CAN8_1","AVGANNAGEADJRATE","RACE","BLK",NULL,NULL,NULL,NULL
2012,2016,"AL","Alabama","Statewide central cancer registries","Cancer","Cancer of the lung and bronchus, incidence",NULL,"per 100,000","Average Annual Age-adjusted Rate","87.6","87.6",NULL,NULL,"85.9","89.2","Gender","Male",NULL,NULL,NULL,NULL,"POINT (-86.63186076199969 32.84057112200048)",NULL,"01","CAN","CAN8_1","AVGANNAGEADJRATE","GENDER","GENM",NULL,NULL,NULL,NULL
2013,2017,"AL","Alabama","Statewide central cancer registries","Cancer","Cancer of the lung and bronchus, incidence",NULL,"per 100,000","Average Annual Age-adjusted Rate","12.0","12",NULL,NULL,"11.6","12.4","Race/Ethnicity","Black, non-Hispanic",NULL,NULL,NULL,NULL,"POINT (-86.63186076199969 32.84057112200048)",NULL,"01","CAN","CAN8_1","AVGANNAGEADJRATE","RACE","BLK",NULL,NULL,NULL,NULL
2014,2018,"AL","Alabama","Death Certificate","Cancer","Cancer of the lung and bronchus, mortality",NULL,"per 100,000","Average Annual Age-adjusted Rate","48.6","48.6",NULL,NULL,"47.8","49.4","Overall","Overall",NULL,NULL,NULL,NULL,"POINT (-86.63186076199969 32.84057112200048)",NULL,"01","CAN","CAN8_2","AVGANNAGEADJRATE","OVERALL","OVR",NULL,NULL,NULL,NULL
2014,2018,"AL","Alabama","Statewide central cancer registries","Cancer","Cancer of the lung and bronchus, incidence",NULL,"per 100,000","Average Annual Age-adjusted Rate","0.3","0.3",NULL,NULL,"0.3","0.4","Race/Ethnicity","Asian or Pacific Islander",NULL,NULL,NULL,NULL,"POINT (-86.63186076199969 32.84057112200048)",NULL,"01","CAN","CAN8_1","AVGANNAGEADJRATE","RACE","APIO",NULL,NULL,NULL,NULL
2013,2017,"AL","Alabama","Death Certificate","Cancer","Cancer of the lung and bronchus, mortality",NULL,"per 100,000","Average Annual Age-adjusted Rate","20.4","20.4",NULL,NULL,"13.7","29","Race/Ethnicity","American Indian or Alaska Native",NULL,NULL,NULL,NULL,"POINT (-86.63186076199969 32.84057112200048)",NULL,"01","CAN","CAN8_2","AVGANNAGEADJRATE","RACE","AIAO",NULL,NULL,NULL,NULL
2015,2019,"AL","Alabama","Death Certificate","Cancer","Cancer of the lung and bronchus, mortality",NULL,"per 100,000","Average Annual Age-adjusted Rate","48.8","48.8",NULL,NULL,"47.9","49.7","Race/Ethnicity","White, non-Hispanic",NULL,NULL,NULL,NULL,"POINT (-86.63186076199969 32.84057112200048)",NULL,"01","CAN","CAN8_2","AVGANNAGEADJRATE","RACE","WHT",NULL,NULL,NULL,NULL
2012,2016,"AL","Alabama","Statewide central cancer registries","Cancer","Cancer of the lung and bronchus, incidence",NULL,"per 100,000","Average Annual Age-adjusted Rate","0.1","0.1",NULL,NULL,"0.1","0.1","Race/Ethnicity","American Indian or Alaska Native",NULL,NULL,NULL,NULL,"POINT (-86.63186076199969 32.84057112200048)",NULL,"01","CAN","CAN8_1","AVGANNAGEADJRATE","RACE","AIAO",NULL,NULL,NULL,NULL
2014,2018,"AL","Alabama","Statewide central cancer registries","Cancer","Cancer of the lung and bronchus, incidence",NULL,"per 100,000","Average Annual Age-adjusted Rate","11.9","11.9",NULL,NULL,"11.5","12.3","Race/Ethnicity","Black, non-Hispanic",NULL,NULL,NULL,NULL,"POINT (-86.63186076199969 32.84057112200048)",NULL,"01","CAN","CAN8_1","AVGANNAGEADJRATE","RACE","BLK",NULL,NULL,NULL,NULL
2008,2012,"AL","Alabama","Death Certificate","Cancer","Cancer of the lung and bronchus, mortality",NULL,"per 100,000","Average Annual Age-adjusted Rate","52.3","52.3",NULL,NULL,"50.3","54.3","Race/Ethnicity","Black, non-Hispanic",NULL,NULL,NULL,NULL,"POINT (-86.63186076199969 32.84057112200048)",NULL,"01","CAN","CAN8_2","AVGANNAGEADJRATE","RACE","BLK",NULL,NULL,NULL,NULL
2010,2014,"AL","Alabama","Statewide central cancer registries","Cancer","Cancer of the lung and bronchus, incidence",NULL,"per 100,000","Average Annual Age-adjusted Rate","57.3","57.3",NULL,NULL,"56.4","58.2","Race/Ethnicity","White, non-Hispanic",NULL,NULL,NULL,NULL,"POINT (-86.63186076199969 32.84057112200048)",NULL,"01","CAN","CAN8_1","AVGANNAGEADJRATE","RACE","WHT",NULL,NULL,NULL,NULL
2010,2014,"AL","Alabama","Death Certificate","Cancer","Cancer of the lung and bronchus, mortality",NULL,"per 100,000","Average Annual Age-adjusted Rate","39.5","39.5",NULL,NULL,"38.5","40.5","Gender","Female",NULL,NULL,NULL,NULL,"POINT (-86.63186076199969 32.84057112200048)",NULL,"01","CAN","CAN8_2","AVGANNAGEADJRATE","GENDER","GENF",NULL,NULL,NULL,NULL
2013,2017,"AL","Alabama","Statewide central cancer registries","Cancer","Cancer of the lung and bronchus, incidence",NULL,"per 100,000","Average Annual Age-adjusted Rate","21.7","21.7",NULL,NULL,"16.8","27.3","Race/Ethnicity","Hispanic",NULL,NULL,NULL,NULL,"POINT (-86.63186076199969 32.84057112200048)",NULL,"01","CAN","CAN8_1","AVGANNAGEADJRATE","RACE","HIS",NULL,NULL,NULL,NULL
2010,2014,"AL","Alabama","Death Certificate","Cancer","Cancer of the lung and bronchus, mortality",NULL,"per 100,000","Average Annual Age-adjusted Rate","77.2","77.2",NULL,NULL,"75.6","78.8","Gender","Male",NULL,NULL,NULL,NULL,"POINT (-86.63186076199969 32.84057112200048)",NULL,"01","CAN","CAN8_2","AVGANNAGEADJRATE","GENDER","GENM",NULL,NULL,NULL,NULL
2014,2018,"AL","Alabama","Statewide central cancer registries","Cancer","Cancer of the lung and bronchus, incidence",NULL,"per 100,000","Average Annual Age-adjusted Rate","82.1","82.1",NULL,NULL,"80.5","83.6","Gender","Male",NULL,NULL,NULL,NULL,"POINT (-86.63186076199969 32.84057112200048)",NULL,"01","CAN","CAN8_1","AVGANNAGEADJRATE","GENDER","GENM",NULL,NULL,NULL,NULL
2008,2012,"AL","Alabama","Death Certificate","Cancer","Cancer of the lung and bronchus, mortality",NULL,"per 100,000","Average Annual Age-adjusted Rate","40.1","40.1",NULL,NULL,"39.1","41.2","Gender","Female",NULL,NULL,NULL,NULL,"POINT (-86.63186076199969 32.84057112200048)",NULL,"01","CAN","CAN8_2","AVGANNAGEADJRATE","GENDER","GENF",NULL,NULL,NULL,NULL
2012,2016,"AL","Alabama","Statewide central cancer registries","Cancer","Cancer of the lung and bronchus, incidence",NULL,"per 100,000","Average Annual Age-adjusted Rate","50.6","50.6",NULL,NULL,"49.5","51.8","Gender","Female",NULL,NULL,NULL,NULL,"POINT (-86.63186076199969 32.84057112200048)",NULL,"01","CAN","CAN8_1","AVGANNAGEADJRATE","GENDER","GENF",NULL,NULL,NULL,NULL
2012,2016,"AL","Alabama","Statewide central cancer registries","Cancer","Cancer of the lung and bronchus, incidence",NULL,"per 100,000","Average Annual Age-adjusted Rate","0.3","0.3",NULL,NULL,"0.2","0.4","Race/Ethnicity","Asian or Pacific Islander",NULL,NULL,NULL,NULL,"POINT (-86.63186076199969 32.84057112200048)",NULL,"01","CAN","CAN8_1","AVGANNAGEADJRATE","RACE","APIO",NULL,NULL,NULL,NULL
2015,2019,"AL","Alabama","Death Certificate","Cancer","Cancer of the lung and bronchus, mortality",NULL,"per 100,000","Average Annual Age-adjusted Rate","16.0","16",NULL,NULL,"10.5","23.4","Race/Ethnicity","American Indian or Alaska Native",NULL,NULL,NULL,NULL,"POINT (-86.63186076199969 32.84057112200048)",NULL,"01","CAN","CAN8_2","AVGANNAGEADJRATE","RACE","AIAO",NULL,NULL,NULL,NULL
2009,2013,"AL","Alabama","Statewide central cancer registries","Cancer","Cancer of the lung and bronchus, incidence",NULL,"per 100,000","Average Annual Age-adjusted Rate","24.2","24.2",NULL,NULL,"18.4","31","Race/Ethnicity","Hispanic",NULL,NULL,NULL,NULL,"POINT (-86.63186076199969 32.84057112200048)",NULL,"01","CAN","CAN8_1","AVGANNAGEADJRATE","RACE","HIS",NULL,NULL,NULL,NULL
2009,2013,"AL","Alabama","Statewide central cancer registries","Cancer","Cancer of the lung and bronchus, incidence",NULL,"per 100,000","Average Annual Age-adjusted Rate","13.0","13",NULL,NULL,"12.5","13.4","Race/Ethnicity","Black, non-Hispanic",NULL,NULL,NULL,NULL,"POINT (-86.63186076199969 32.84057112200048)",NULL,"01","CAN","CAN8_1","AVGANNAGEADJRATE","RACE","BLK",NULL,NULL,NULL,NULL
