index,YearStart,YearEnd,LocationAbbr,DataSource,DataValueUnit,DataValueType,DataValue
1950,2008,2012,IA,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,66.2
2084,2008,2012,KS,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,61.5
6194,2008,2012,WA,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,62.5
5046,2008,2012,RI,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,72.5
5688,2008,2012,US,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,64.5
651,2008,2012,CO,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,47.6
5128,2008,2012,SC,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,70.7
3951,2008,2012,NJ,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,60.7
3028,2008,2012,MN,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,56.1
1796,2008,2012,IN,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,76.7
1782,2008,2012,IL,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,69.9
6016,2008,2012,VA,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,64.3
4258,2008,2012,NC,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,72.4
3370,2008,2012,MT,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,59.3
526,2008,2012,CA,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,48.4
5283,2008,2012,SD,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,59.7
5970,2008,2012,VT,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,69.1
1653,2008,2012,ID,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,53.2
914,2008,2012,DE,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,73.3
3096,2008,2012,MS,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,78.6
5864,2008,2012,UT,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,28.8
4015,2008,2012,NM,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,43.2
5465,2008,2012,TN,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,78.2
1076,2008,2012,DC,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,60.6
1411,2008,2012,HI,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,47.7
4099,2008,2012,NY,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,63.2
1332,2008,2012,GA,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,69.4
5581,2008,2012,TX,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,58.5
1208,2008,2012,FL,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,66.2
875,2008,2012,CT,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,64.0
2910,2008,2012,MI,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,69.9
3226,2008,2012,MO,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,77.3
4411,2008,2012,ND,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,56.8
