"YearStart","YearEnd","LocationAbbr","LocationDesc","DataSource","Topic","Question","Response","DataValueUnit","DataValueType","DataValue","DataValueAlt","DataValueFootnoteSymbol","DatavalueFootnote","LowConfidenceLimit","HighConfidenceLimit","StratificationCategory1","Stratification1","StratificationCategory2","Stratification2","StratificationCategory3","Stratification3","GeoLocation","ResponseID","LocationID","TopicID","QuestionID","DataValueTypeID","StratificationCategoryID1","StratificationID1","StratificationCategoryID2","StratificationID2","StratificationCategoryID3","StratificationID3"
2018,2018,"AK","Alaska","BRFSS","Tobacco","Current smoking among adults aged >= 18 years",NULL,"%","Age-adjusted Prevalence","17.4","17.4",NULL,NULL,"14.6","20.6","Gender","Female",NULL,NULL,NULL,NULL,"POINT (-147.72205903599973 64.84507995700051)",NULL,"02","TOB","TOB1_2","AGEADJPREV","GENDER","GENF",NULL,NULL,NULL,NULL
2015,2015,"AK","Alaska","BRFSS","Tobacco","Current smoking among adults aged >= 18 years",NULL,"%","Crude Prevalence","19.6","19.6",NULL,NULL,"16.9","22.7","Gender","Male",NULL,NULL,NULL,NULL,"POINT (-147.72205903599973 64.84507995700051)",NULL,"02","TOB","TOB1_2","CRDPREV","GENDER","GENM",NULL,NULL,NULL,NULL
2011,2011,"AK","Alaska","BRFSS","Tobacco","Current smoking among adults aged >= 18 years",NULL,"%","Age-adjusted Prevalence","19.0","19",NULL,NULL,"17","21.2","Race/Ethnicity","White, non-Hispanic",NULL,NULL,NULL,NULL,"POINT (-147.72205903599973 64.84507995700051)",NULL,"02","TOB","TOB1_2","AGEADJPREV","RACE","WHT",NULL,NULL,NULL,NULL
2011,2011,"AK","Alaska","BRFSS","Tobacco","Current smoking among adults aged >= 18 years",NULL,"%","Crude Prevalence",NULL,NULL,"****","Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%",NULL,NULL,"Race/Ethnicity","Black, non-Hispanic",NULL,NULL,NULL,NULL,"POINT (-147.72205903599973 64.84507995700051)",NULL,"02","TOB","TOB1_2","CRDPREV","RACE","BLK",NULL,NULL,NULL,NULL
2013,2013,"AK","Alaska","BRFSS","Tobacco","Current smoking among adults aged >= 18 years",NULL,"%","Age-adjusted Prevalence","22.2","22.2",NULL,NULL,"13.9","33.5","Race/Ethnicity","Hispanic",NULL,NULL,NULL,NULL,"POINT (-147.72205903599973 64.84507995700051)",NULL,"02","TOB","TOB1_2","AGEADJPREV","RACE","HIS",NULL,NULL,NULL,NULL
2014,2014,"AK","Alaska","BRFSS","Tobacco","Current smoking among adults aged >= 18 years",NULL,"%","Crude Prevalence","19.9","19.9",NULL,NULL,"18.2","21.6","Overall","Overall",NULL,NULL,NULL,NULL,"POINT (-147.72205903599973 64.84507995700051)",NULL,"02","TOB","TOB1_2","CRDPREV","OVERALL","OVR",NULL,NULL,NULL,NULL
2021,2021,"AK","Alaska","BRFSS","Tobacco","Current smoking among adults aged >= 18 years",NULL,"%","Crude Prevalence","13.4","13.4",NULL,NULL,"11.9","15.1","Race/Ethnicity","White, non-Hispanic",NULL,NULL,NULL,NULL,"POINT (-147.72205903599973 64.84507995700051)",NULL,"02","TOB","TOB1_2","CRDPREV","RACE","WHT",NULL,NULL,NULL,NULL
2021,2021,"AL","Alabama","BRFSS","Tobacco","Current smoking among adults aged >= 18 years",NULL,"%","Age-adjusted Prevalence","16.3","16.3",NULL,NULL,"14.2","18.6","Gender","Female",NULL,NULL,NULL,NULL,"POINT (-86.63186076199969 32.84057112200048)",NULL,"01","TOB","TOB1_2","AGEADJPREV","GENDER","GENF",NULL,NULL,NULL,NULL
2014,2014,"AK","Alaska","BRFSS","Tobacco","Current smoking among adults aged >= 18 years",NULL,"%","Age-adjusted Prevalence","31","31",NULL,NULL,"22.6","40.9","Race/Ethnicity","Multiracial, non-Hispanic",NULL,NULL,NULL,NULL,"POINT (-147.72205903599973 64.84507995700051)",NULL,"02","TOB","TOB1_2","AGEADJPREV","RACE","MRC",NULL,NULL,NULL,NULL
2012,2012,"AK","Alaska","BRFSS","Tobacco","Current smoking among adults aged >= 18 years",NULL,"%","Crude Prevalence","23.1","23.1",NULL,NULL,"14.5","34.6","Race/Ethnicity","Hispanic",NULL,NULL,NULL,NULL,"POINT (-147.72205903599973 64.84507995700051)",NULL,"02","TOB","TOB1_2","CRDPREV","RACE","HIS",NULL,NULL,NULL,NULL
