YearStart,YearEnd,LocationAbbr,LocationDesc,DataValueUnit,DataValueType,DataValue,StratificationCategory1,Stratification1
2018,2018,AK,Alaska,%,Age-adjusted Prevalence,17.4,Gender,Female
2015,2015,AK,Alaska,%,Crude Prevalence,19.6,Gender,Male
2011,2011,AK,Alaska,%,Age-adjusted Prevalence,19.0,Race/Ethnicity,"White, non-Hispanic"
2011,2011,AK,Alaska,%,Crude Prevalence,,Race/Ethnicity,"Black, non-Hispanic"
2013,2013,AK,Alaska,%,Age-adjusted Prevalence,22.2,Race/Ethnicity,Hispanic
2014,2014,AK,Alaska,%,Crude Prevalence,19.9,Overall,Overall
2021,2021,AK,Alaska,%,Crude Prevalence,13.4,Race/Ethnicity,"White, non-Hispanic"
2021,2021,AL,Alabama,%,Age-adjusted Prevalence,16.3,Gender,Female
2014,2014,AK,Alaska,%,Age-adjusted Prevalence,31.0,Race/Ethnicity,"Multiracial, non-Hispanic"
2012,2012,AK,Alaska,%,Crude Prevalence,23.1,Race/Ethnicity,Hispanic
2011,2011,AK,Alaska,%,Crude Prevalence,22.9,Overall,Overall
2019,2019,AK,Alaska,%,Crude Prevalence,19.0,Gender,Male
2011,2011,AK,Alaska,%,Age-adjusted Prevalence,22.1,Gender,Female
2018,2018,AK,Alaska,%,Crude Prevalence,,Race/Ethnicity,Hispanic
2016,2016,AK,Alaska,%,Crude Prevalence,,Race/Ethnicity,Hispanic
2018,2018,AK,Alaska,%,Age-adjusted Prevalence,24.6,Race/Ethnicity,"Multiracial, non-Hispanic"
2020,2020,AK,Alaska,%,Age-adjusted Prevalence,19.1,Race/Ethnicity,"Multiracial, non-Hispanic"
2017,2017,AK,Alaska,%,Age-adjusted Prevalence,,Race/Ethnicity,"Black, non-Hispanic"
2013,2013,AK,Alaska,%,Crude Prevalence,22.6,Overall,Overall
2013,2013,AK,Alaska,%,Age-adjusted Prevalence,24.8,Race/Ethnicity,"Black, non-Hispanic"
2015,2015,AK,Alaska,%,Age-adjusted Prevalence,20.9,Race/Ethnicity,Hispanic
2012,2012,AK,Alaska,%,Crude Prevalence,22.1,Gender,Male
2014,2014,AK,Alaska,%,Age-adjusted Prevalence,19.5,Overall,Overall
2019,2019,AK,Alaska,%,Age-adjusted Prevalence,24.3,Race/Ethnicity,"Other, non-Hispanic"
2019,2019,AK,Alaska,%,Age-adjusted Prevalence,17.6,Overall,Overall
2021,2021,AK,Alaska,%,Age-adjusted Prevalence,17.2,Overall,Overall
2012,2012,AK,Alaska,%,Age-adjusted Prevalence,21.2,Gender,Male
2013,2013,AK,Alaska,%,Crude Prevalence,31.9,Race/Ethnicity,"Black, non-Hispanic"
2017,2017,AK,Alaska,%,Age-adjusted Prevalence,17.3,Gender,Female
2021,2021,CA,California,%,Crude Prevalence,11.4,Gender,Male
2014,2014,GU,Guam,%,Crude Prevalence,24.2,Gender,Female
2012,2012,MN,Minnesota,%,Crude Prevalence,16.0,Gender,Female
2013,2013,NM,New Mexico,%,Crude Prevalence,22.2,Gender,Male
2017,2017,NM,New Mexico,%,Crude Prevalence,20.6,Gender,Male
2021,2021,PA,Pennsylvania,%,Crude Prevalence,15.3,Gender,Male
2017,2017,TX,Texas,%,Crude Prevalence,15.3,Race/Ethnicity,Hispanic
2018,2018,US,United States,%,Crude Prevalence,14.9,Gender,Female
2017,2017,AK,Alaska,%,Crude Prevalence,24.2,Gender,Male
2019,2019,AK,Alaska,%,Crude Prevalence,17.4,Overall,Overall
2019,2019,AK,Alaska,%,Age-adjusted Prevalence,,Race/Ethnicity,Hispanic
